mean SM utilization during default-spec b=4096 cuda loop: 23% (samples [98, 40, 6, 8, 8, 8, 8, 8])
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     98     61      0      0      0      0 
    0     40     21      0      0      0      0 
    0      6      0      0      0      0      0 
    0      8      0      0      0      0      0 
    0      8      0      0      0      0      0 
    0      8      0      0      0      0      0 
    0      8      0      0      0      0      0 
    0      8      0      0      0      0      0 
