workload,schedule,batch,device,seed,time_to_target_s,time_to_practical_s,epochs_to_target,total_time_s,epochs_run,final_nll
vaca-ci,baseline-2phase,full,cpu,2,,,,11.971945442259312,520,4.984254002571106
vaca-ci,constant,512,cpu,0,,7.507713830564171,,54.418705446179956,520,4.999061584472656
vaca-ci,constant,512,cpu,1,14.059911413118243,9.58030040981248,135.0,54.2682890817523,520,4.965121388435364
vaca-ci,constant,512,cpu,2,7.7075026468373835,6.8749624118208885,74.0,54.175946321804076,520,4.983452558517456
vaca-ci,constant,full,cpu,0,,,,11.985273607075214,520,4.982659220695496
vaca-ci,constant,full,cpu,1,,,,12.098285173997283,520,5.179729223251343
vaca-ci,constant,full,cpu,2,,,,12.012617480941117,520,4.97358775138855
vaca-ci,onecycle,512,cpu,0,18.418329166714102,12.873597228899598,176.0,31.402579457033426,300,4.968545913696289
vaca-ci,onecycle,512,cpu,1,14.748670737724751,11.929704420734197,141.0,31.352645550388843,300,4.964292049407959
vaca-ci,onecycle,512,cpu,2,,12.122045658994466,,31.34420804772526,300,4.9732396602630615
vaca-ci,onecycle,full,cpu,0,,,,6.9759243982844055,300,5.269880294799805
vaca-ci,onecycle,full,cpu,1,,,,6.91949434299022,300,5.9167503118515015
vaca-ci,onecycle,full,cpu,2,,,,6.856435928028077,300,5.264895439147949
vaca-ci,cosine,512,cpu,0,,7.54714666120708,,31.32560323178768,300,4.975802183151245
vaca-ci,cosine,512,cpu,1,16.663475876674056,9.579812542069703,160.0,31.275925755966455,300,4.967016100883484
vaca-ci,cosine,512,cpu,2,8.242028906010091,6.888464644085616,79.0,31.319737853948027,300,4.968832969665527
vaca-ci,cosine,full,cpu,0,,,,7.15276987478137,300,5.22493588924408
vaca-ci,cosine,full,cpu,1,,,,7.17642248980701,300,5.873547554016113
vaca-ci,cosine,full,cpu,2,,,,7.170795839745551,300,5.220121622085571
vaca-ci,plateau+freeze,512,cpu,0,,7.120220991317183,,13.767899990081787,199,4.96831214427948
vaca-ci,plateau+freeze,512,cpu,1,,9.630577739328146,,18.96011902904138,201,4.968033313751221
vaca-ci,plateau+freeze,512,cpu,2,7.518526651896536,6.787887956947088,72.0,15.620931810699403,198,4.963635206222534
vaca-ci,plateau+freeze,full,cpu,0,,,,11.489348242990673,842,4.979510545730591
vaca-ci,plateau+freeze,full,cpu,1,,,,12.199194114189595,842,5.6508331298828125
vaca-ci,plateau+freeze,full,cpu,2,,11.88071712385863,,15.252626820001751,842,4.967460632324219
stroke-ls,lbfgs,full,cpu,0,,5.1977978073991835,,5.764073587022722,600,10.308708190917969
stroke-ls,adam150+lbfgs,full,cpu,0,,9.518533949740231,,11.649458076804876,750,10.307296752929688
stroke-ls,lbfgs,full,cpu,1,,4.326191530097276,,6.118389897048473,600,10.30769157409668
stroke-ls,adam150+lbfgs,full,cpu,1,,8.492122719995677,,10.588427534792572,750,10.307270050048828
stroke-ls,lbfgs,full,cpu,2,,4.642497853841633,,5.084668624214828,600,10.309021949768066
stroke-ls,adam150+lbfgs,full,cpu,2,,9.144613022916019,,9.955183309968561,750,10.308753967285156
